SK_ID_CURR,TARGET
100001,1.0
100005,1.0
100013,0.0
100028,0.0
100038,0.0
100042,1.0
100057,1.0
100065,0.0
100066,1.0
100067,0.0
100074,1.0
100090,1.0
100091,1.0
100092,0.0
100106,0.0
100107,1.0
100109,0.0
100117,1.0
100128,1.0
100141,0.0
100150,0.0
100168,0.0
100169,1.0
100170,1.0
100171,1.0
100172,0.0
100184,1.0
100187,1.0
100212,0.0
100222,0.0
100223,1.0
100232,1.0
100241,1.0
100245,1.0
100253,1.0
100256,0.0
100271,1.0
100278,0.0
100280,1.0
100306,0.0
100311,0.0
100312,1.0
100330,1.0
100331,1.0
100352,1.0
100358,1.0
100367,0.0
100382,1.0
100384,0.0
100385,0.0
100386,1.0
100399,1.0
100404,1.0
100416,1.0
100422,0.0
100426,0.0
100438,0.0
100444,1.0
100445,1.0
100446,1.0
100447,1.0
100450,1.0
100466,0.0
100483,0.0
100484,1.0
100494,0.0
100510,0.0
100512,1.0
100517,0.0
100548,1.0
100551,1.0
100552,1.0
100553,1.0
100561,0.0
100568,1.0
100569,0.0
100591,1.0
100592,1.0
100602,0.0
100607,0.0
100613,1.0
100617,1.0
100618,1.0
100622,0.0
100625,1.0
100677,1.0
100699,1.0
100702,0.0
100711,0.0
100729,0.0
100740,1.0
100744,0.0
100745,0.0
100747,1.0
100751,0.0
100752,0.0
100753,6.380085800879362e-222
100754,0.0
100760,0.0
100762,0.0
100763,1.0
100765,1.0
100770,0.0
100772,1.0
100777,1.0
100791,1.0
100792,1.0
100797,1.0
100823,0.0
100826,0.0
100830,1.0
100836,1.0
100872,1.0
100910,0.0
100913,1.0
100918,1.0
100931,1.0
100952,0.0
100953,1.0
100965,0.0
100970,1.0
100982,1.0
100983,1.0
100984,0.0
100987,1.0
100997,1.0
100998,1.0
101002,0.0
101005,0.0
101008,1.0
101020,1.0
101021,0.0
101024,1.0
101025,1.0
101026,0.0
101031,1.0
101041,0.0
101051,0.0
101055,0.0
101056,1.0
101057,0.0
101064,1.0
101079,1.0
101087,0.0
101090,1.0
101092,1.0
101097,1.0
101099,1.0
101107,1.0
101118,1.0
101125,1.0
101126,1.0
101128,0.0
101136,0.0
101140,0.0
101149,1.0
101160,1.0
101169,1.0
101181,1.0
101186,1.0
101190,0.0
101193,1.0
101194,1.0
101198,0.0
101200,0.0
101204,1.0
101211,1.0
101213,1.0
101223,0.0
101225,1.0
101237,1.0
101243,1.0
101244,0.0
101258,1.0
